기준년분기코드,행정동코드,집객시설수,관공서수,은행수,종합병원수,일반병원수,약국수,유치원수,초등학교수,중학교수,고등학교수,대학교수,백화점수,슈퍼마켓수,극장수,숙박시설수,공항수,철도역수,버스터미널수,지하철역수,버스정거장수
202203,11560620,117,8,6,,,7,1,2,1,2,,,,,3,,,,1,39
202203,11560585,55,2,,,,6,2,,,,,,,,,,,,,28
202203,11560630,78,1,2,1,1,13,,1,,,,,,,4,,,,2,26
202203,11590560,95,4,1,,1,11,4,1,1,,,,,1,,,,,,36
202203,11650600,95,3,4,,1,10,,1,,,3,,1,,,,,,1,19
202203,11680740,57,3,3,,,6,2,1,1,,,,,,,,,,1,13
202203,11710510,40,3,,,1,6,1,1,,,,,,,,,,,,6
202203,11710540,69,4,1,,,8,1,1,,,,,,,1,,,,1,14
202203,11710590,73,3,1,,,11,3,1,2,3,,,,,,,,,,9
202203,11740620,104,4,3,,2,14,,,1,,,,,,1,,,,,12
202203,11740515,147,5,3,,,12,2,2,2,1,,,,,,,,,3,79
202203,11740590,39,2,1,,,5,1,,2,1,,,,,,,,,,12
202203,11740560,70,3,1,,,9,1,2,1,2,,,,,,,,,1,25
202203,11110580,72,4,3,2,,17,,,,1,1,,,,,,,,,26
202203,11110570,39,2,1,1,,4,1,1,,,,,,,,,,,1,7
202203,11110650,143,6,5,,,16,3,1,1,4,28,,,,,,,,1,36
202203,11110670,102,3,4,,,9,,2,,,,,1,,7,,,,,10
202203,11170520,63,3,,,,4,,1,2,2,,,,,,,,,1,31
202203,11170590,47,2,,,,3,,,,,,,,,,,,,,23
202203,11170625,228,19,19,,,21,,2,,1,,,4,,2,,,,7,41
202203,11170640,22,2,,,,1,,,,,,,,,,,,,,11
202203,11200535,170,4,4,,2,20,2,2,,2,,,,,,,,,,27
202203,11200560,124,9,4,,2,13,1,1,,,,,1,,,,,,4,35
202203,11215710,163,3,5,1,,17,,2,2,1,35,,,,,,,,2,18
202203,11260565,156,4,2,,,18,1,2,,,,,13,,1,,,,1,30
202203,11230740,131,5,2,,,13,3,,,2,23,,,,,,,,1,26
202203,11290580,34,1,,,,2,2,2,2,1,,,,,,,,,,13
202203,11290640,116,4,1,,,2,,1,3,1,28,,,,,,,,,37
202203,11305545,200,4,1,,2,18,4,2,,1,2,1,,,,,,,,71
202203,11305615,144,4,2,,,12,,2,2,1,,,1,,,,,,1,42
202203,11305660,171,13,2,1,2,14,2,2,3,,5,,1,,,,,,,55
202203,11305603,100,5,,,,7,1,,1,,,,,,1,,,,,54
202203,11380520,170,6,4,,1,17,4,2,,,,,,,,,,,3,43
202203,11350625,112,7,2,,,10,4,4,1,3,,,,,,,,,1,39
202203,11350630,164,5,2,,,14,3,3,2,1,,,,,,,,,1,38
202203,11350619,88,5,2,,,7,3,2,,3,,,,,,,,,,21
202203,11380570,189,3,4,,1,23,,2,,2,,,,,,,,,,38
202203,11410700,99,4,4,,,12,3,1,1,,8,,,,,,,,,23
202203,11440600,205,5,5,,,18,,3,1,1,27,,,,3,,,,3,38
202203,11470510,178,5,12,,1,21,1,1,1,1,2,,,,,,,,2,31
202203,11470530,85,3,4,,,11,1,,1,,,,,,,,,,,8
202203,11500550,55,2,,,,3,2,1,,,,,,,,,,,,30
