,시군구_코드_명,행정동_코드_명,상권_코드,상권_코드_명
0,강남구,개포2동,1000892,개포로82길
1,강남구,개포2동,1000928,선릉로18길
2,강남구,개포2동,1001475,강남개포시장
3,강남구,개포4동,1000889,개포로17길
4,강남구,개포4동,1000890,개포로20길
5,강남구,개포4동,1000891,개포로28길
6,강남구,개포4동,1000895,논현로10길
7,강남구,개포4동,1000903,논현로8길
8,강남구,개포4동,1001019,포이사거리_1
9,강남구,논현1동,1000886,강남대로118길
10,강남구,논현1동,1000887,강남대로136길
11,강남구,논현1동,1000888,강남대로140길
12,강남구,논현1동,1000896,논현로115길
13,강남구,논현1동,1000897,논현로123길
14,강남구,논현1동,1000898,논현로139길
15,강남구,논현1동,1000938,학동로6길
16,강남구,논현1동,1001095,강남구 논현역_2
17,강남구,논현1동,1001100,강남구 논현역_3
18,강남구,논현1동,1001102,서울 강남구 학동역_1
19,강남구,논현1동,1001108,학동역
20,강남구,논현1동,1001117,강남구 신사역_2
21,강남구,논현1동,1001471,영동전통시장
22,강남구,논현2동,1000907,도산대로30길
23,강남구,논현2동,1000908,도산대로38길
24,강남구,논현2동,1000909,도산대로50길
25,강남구,논현2동,1000913,봉은사로29길
26,강남구,논현2동,1000914,봉은사로43길
27,강남구,논현2동,1000924,선릉로121길
28,강남구,논현2동,1000926,선릉로133길
29,강남구,논현2동,1000936,학동로38길
30,강남구,논현2동,1001090,삼정역_2
31,강남구,논현2동,1001106,서울 강남구 학동역_2
32,강남구,논현2동,1001111,서울 강남구 강남구청역_1
33,강남구,논현2동,1001112,서울 강남구 학동역_3
34,강남구,논현2동,1001115,서울 강남구 강남구청역_2
35,강남구,논현2동,1001123,학동사거리_1
36,강남구,대치1동,1000919,삼성로57길
37,강남구,대치1동,1001053,서울 강남구 대치역_1
38,강남구,대치1동,1001054,서울 강남구 대치역_2
39,강남구,대치1동,1001065,은마아파트입구사거리_1
40,강남구,대치2동,1000921,삼성로64길
41,강남구,대치2동,1000932,영동대로65길
42,강남구,대치2동,1001068,은마아파트입구사거리_2
43,강남구,대치2동,1001070,은마아파트입구사거리_4
44,강남구,대치2동,1001088,삼성역_1
45,강남구,대치2동,1001091,삼성역_2
46,강남구,대치4동,1000920,삼성로63길
47,강남구,대치4동,1000922,삼성로69길
48,강남구,대치4동,1000923,삼성로75길
49,강남구,대치4동,1001069,은마아파트입구사거리_3
50,강남구,대치4동,1001071,서울 강남구 한티역
51,강남구,대치4동,1001082,선릉역_2
52,강남구,도곡1동,1000893,남부순환로365길
53,강남구,도곡1동,1001037,양재역
54,강남구,도곡1동,1001047,뱅뱅사거리_1
55,강남구,도곡2동,1000900,논현로26길
