,상권_코드_명,관공서_수,은행_수,종합병원_수,일반_병원_수,약국_수,대학교_수,백화점_수,슈퍼마켓_수,극장_수,숙박_시설_수,공항_수,철도_역_수,버스_터미널_수,지하철_역_수,버스_정거장_수
0,개포로82길,0,1,0,0,1,0,0,0,0,0,0,0,0,1,2
1,선릉로18길,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2
2,강남개포시장,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,개포로17길,2,3,0,0,1,0,0,0,0,0,0,0,0,0,3
4,개포로20길,0,3,0,0,2,0,0,0,0,0,0,0,0,0,3
5,개포로28길,1,0,0,0,1,0,0,0,0,0,0,0,0,0,3
6,논현로10길,0,1,0,0,1,0,0,0,0,0,0,0,0,0,3
7,논현로8길,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3
8,포이사거리_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,강남대로118길,1,0,0,1,3,0,0,0,0,0,0,0,0,0,0
10,강남대로136길,1,3,0,0,3,0,0,1,0,0,0,0,0,1,1
11,강남대로140길,0,3,0,1,3,0,0,0,0,0,0,0,0,1,1
12,논현로115길,2,2,1,2,3,0,0,0,0,0,0,0,0,1,1
13,논현로123길,1,2,0,1,2,0,0,0,0,0,0,0,0,0,0
14,논현로139길,0,3,0,2,3,2,0,0,0,0,0,0,0,0,1
15,학동로6길,1,2,0,0,3,0,0,1,0,0,0,0,0,0,0
16,강남구 논현역_2,1,2,0,0,3,0,0,1,0,0,0,0,0,0,1
17,강남구 논현역_3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
18,서울 강남구 학동역_1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
19,학동역,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
20,강남구 신사역_2,0,2,0,1,3,0,0,0,0,0,0,0,0,0,0
21,영동전통시장,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,도산대로30길,2,2,0,2,2,2,0,0,0,0,0,0,0,0,1
23,도산대로38길,2,3,0,2,2,2,0,0,0,0,0,0,0,0,1
24,도산대로50길,2,3,0,1,3,0,0,0,0,0,0,0,0,0,1
25,봉은사로29길,0,3,1,2,3,0,0,0,0,0,0,0,0,1,1
26,봉은사로43길,2,3,0,1,2,1,0,0,0,0,0,0,0,1,2
27,선릉로121길,1,3,0,0,3,1,0,0,0,0,0,0,0,1,1
28,선릉로133길,3,3,0,1,3,0,0,0,0,0,0,0,0,1,2
29,학동로38길,2,3,0,2,2,0,0,0,0,0,0,0,0,1,2
30,삼정역_2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
31,서울 강남구 학동역_2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
32,서울 강남구 강남구청역_1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
33,서울 강남구 학동역_3,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
34,서울 강남구 강남구청역_2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
35,학동사거리_1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
36,삼성로57길,3,3,1,0,3,1,1,0,0,0,0,0,0,1,1
37,서울 강남구 대치역_1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
38,서울 강남구 대치역_2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
39,은마아파트입구사거리_1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
40,삼성로64길,2,2,0,1,2,0,0,0,0,0,0,0,0,0,2
41,영동대로65길,1,2,0,0,1,0,0,0,0,0,0,0,0,0,2
42,은마아파트입구사거리_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,은마아파트입구사거리_4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
44,삼성역_1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1
45,삼성역_2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
46,삼성로63길,2,3,1,0,3,1,1,0,0,0,0,0,0,0,1
47,삼성로69길,2,2,1,0,3,0,0,0,0,0,0,0,0,0,1
48,삼성로75길,0,3,0,1,2,1,0,0,0,0,0,0,0,0,1
49,은마아파트입구사거리_3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,서울 강남구 한티역,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
51,선릉역_2,0,3,0,1,1,1,0,0,0,0,0,0,0,0,1
52,남부순환로365길,2,1,0,1,3,0,0,0,0,0,0,0,0,0,2
53,양재역,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0
54,뱅뱅사거리_1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
55,논현로26길,3,3,0,0,2,0,0,0,0,0,0,0,0,1,3
56,논현로28길,2,1,0,0,1,0,0,0,0,0,0,0,0,1,2
57,매봉역,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,봉은사로109길,1,2,0,1,0,0,0,0,0,0,0,0,0,1,1
59,영동대로112길,1,3,0,2,1,0,0,0,0,0,0,0,0,1,1
60,테헤란로81길,1,3,0,0,2,0,1,0,0,0,0,0,0,1,2
61,포스코사거리_2,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0
62,코엑스,0,3,0,0,1,0,1,0,0,0,0,0,0,1,1
63,삼성역_3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1
64,강남 마이스 관광특구,0,3,0,0,1,0,1,0,0,0,0,0,0,1,1
65,봉은사로57길,2,2,0,0,1,1,0,0,0,0,0,0,0,1,1
