,법정동명,지하철역,버스정류소,서점,골프연습장업,목욕장업,세탁업,영화상영관,제과점영업,체력단련장업,구분없음,대규모점포,대형마트,백화점,복합쇼핑몰,쇼핑센터,시장,병원,약국,의원,치안센터,경찰서,119안전센터,공원수,노래방수,당구장,도서관,박물관미술관,우체국,음식점수,카페수,패스트푸드
0,청운동,0,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,16.0,8.0,0.0
1,신교동,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0.0,0.0,0.0,10.0,1.0,0.0
2,궁정동,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,4.0,1.0,0.0
3,효자동,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,16.0,5.0,0.0
4,창성동,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0.0,0.0,0.0,23.0,3.0,0.0
5,통의동,0,4,3,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,3,0,0.0,1.0,1.0,75.0,8.0,0.0
6,적선동,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,3,9,0,0,0,0,1,0,0.0,0.0,0.0,81.0,14.0,2.0
7,통인동,0,3,2,0,2,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0.0,0.0,0.0,86.0,3.0,1.0
8,누상동,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,19.0,1.0,0.0
9,누하동,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0.0,0.0,0.0,55.0,8.0,0.0
10,옥인동,0,2,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,1,0,1,0,1,0,0,0.0,1.0,1.0,30.0,6.0,0.0
11,체부동,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,2,0.0,0.0,0.0,92.0,10.0,0.0
12,필운동,0,0,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,77.0,3.0,3.0
13,내자동,0,4,0,0,0,1,0,1,2,0,0,0,0,0,0,0,1,4,6,0,0,0,0,2,0,0.0,0.0,0.0,95.0,3.0,1.0
14,사직동,0,10,0,2,1,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,2.0,0.0,0.0,44.0,10.0,0.0
15,도렴동,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0.0,0.0,0.0,61.0,6.0,1.0
16,당주동,0,0,2,0,0,2,0,3,1,0,0,0,0,0,0,0,0,2,11,0,0,0,0,1,2,0.0,0.0,0.0,159.0,14.0,0.0
17,내수동,0,0,0,1,1,4,0,4,7,0,0,0,0,0,0,0,0,0,6,0,0,0,2,0,1,0.0,0.0,0.0,142.0,8.0,0.0
18,세종로,1,15,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0.0,3.0,3.0,26.0,12.0,1.0
19,신문로1가,0,5,0,0,0,0,2,0,2,0,0,1,0,0,0,0,0,3,18,0,1,0,2,0,0,0.0,1.0,1.0,102.0,12.0,1.0
20,신문로2가,0,3,0,0,0,0,2,1,2,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0.0,2.0,2.0,102.0,8.0,0.0
21,청진동,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,5,13,0,0,0,1,0,2,0.0,0.0,0.0,196.0,25.0,2.0
22,서린동,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,4,0,0,0,1,0,0,0.0,1.0,1.0,43.0,13.0,1.0
23,수송동,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,6,0,1,0,1,0,2,0.0,2.0,2.0,121.0,12.0,0.0
