,법정동명,골프연습장업,목욕장업,석유판매업,세탁업,영화상영관,제과점영업,체력단련장업
0,청운동,0,0,0,0,0,0,0
1,신교동,0,0,0,2,0,1,0
2,궁정동,0,0,0,0,0,0,0
3,효자동,0,0,0,0,0,1,0
4,창성동,0,0,0,0,0,0,0
5,통의동,0,0,0,0,0,3,1
6,적선동,0,1,0,0,0,0,1
7,통인동,0,2,0,0,0,2,0
8,누상동,0,0,0,0,0,0,0
9,누하동,0,0,0,0,0,2,0
10,옥인동,0,0,0,1,0,1,0
11,체부동,0,0,0,0,0,4,0
12,필운동,0,0,0,1,0,1,0
13,내자동,0,0,0,1,0,1,2
14,사직동,2,1,1,1,0,0,2
15,도렴동,0,0,0,0,0,0,0
16,당주동,0,0,0,2,0,3,1
17,내수동,1,1,0,4,0,4,7
18,세종로,0,0,0,0,0,1,0
19,신문로1가,0,0,0,0,2,0,2
20,신문로2가,0,0,0,0,2,1,2
21,청진동,0,0,0,0,0,2,0
22,서린동,0,0,0,0,0,0,1
23,수송동,0,0,1,1,0,1,0
24,중학동,0,0,1,1,0,0,0
25,종로1가,0,0,0,1,0,3,2
26,공평동,0,0,0,0,0,0,1
27,관훈동,0,1,1,0,0,0,0
28,견지동,0,0,0,0,0,2,1
29,와룡동,0,0,0,0,0,0,0
30,권농동,0,0,0,2,0,1,0
31,운니동,0,1,0,1,0,0,0
32,익선동,0,0,1,1,0,1,0
33,경운동,1,0,0,0,0,0,0
34,관철동,2,0,0,0,0,1,1
35,인사동,0,1,0,2,0,0,0
36,낙원동,0,3,0,2,2,4,1
37,종로2가,0,0,0,0,0,2,0
38,팔판동,0,0,0,0,0,0,0
39,삼청동,0,0,0,0,0,1,2
40,안국동,0,0,0,0,0,0,0
41,소격동,0,0,0,1,0,1,1
42,화동,0,1,0,0,0,1,0
43,사간동,0,0,0,0,0,0,0
44,송현동,0,0,0,0,0,0,0
45,가회동,0,0,0,0,0,1,0
46,재동,0,0,0,1,0,2,0
47,계동,0,0,0,1,0,8,0
48,원서동,0,0,0,1,0,0,1
49,훈정동,0,0,0,0,0,0,0
50,묘동,0,0,0,0,0,3,0
51,봉익동,0,0,0,1,0,0,0
52,돈의동,0,0,0,1,6,0,0
53,장사동,0,1,0,0,0,0,0
54,관수동,0,1,0,0,0,2,0
55,종로3가,0,0,0,0,0,3,1
56,인의동,1,1,1,2,0,1,0
57,예지동,0,0,0,0,0,1,0
58,원남동,1,1,0,0,0,2,2
59,연지동,0,0,0,0,0,0,0
60,종로4가,0,0,0,0,0,0,0
61,효제동,0,0,0,0,0,1,0
62,종로5가,0,0,0,0,0,1,0
63,종로6가,0,0,0,1,0,2,0
64,이화동,0,1,0,0,0,1,1
65,연건동,1,0,0,2,0,6,2
66,충신동,0,0,0,2,0,1,0
67,동숭동,0,0,1,0,0,3,0
68,혜화동,0,0,1,3,0,1,2
69,명륜1가,0,1,0,3,0,0,0
70,명륜2가,0,1,1,2,8,0,2
71,명륜4가,0,0,0,1,0,4,1
72,명륜3가,0,0,0,1,0,1,0
73,창신동,1,3,0,7,0,7,3
74,숭인동,2,3,0,8,0,5,5
75,교남동,0,0,0,0,0,1,2
76,평동,0,0,0,0,0,2,0
77,송월동,0,0,0,0,0,0,0
78,홍파동,0,0,0,1,0,0,0
79,교북동,0,0,0,0,0,3,0
80,행촌동,0,0,0,1,0,0,0
81,구기동,1,1,0,3,0,1,1
82,평창동,4,0,3,5,0,3,4
83,부암동,0,1,2,2,0,3,1
84,홍지동,0,0,1,1,0,3,0
85,신영동,2,0,0,2,0,1,1
86,무악동,1,0,0,3,0,3,0
87,무교동,2,1,0,0,0,0,2
88,다동,0,0,0,1,0,3,3
89,태평로1가,2,3,0,0,0,2,3
90,을지로1가,0,0,0,0,0,4,0
91,을지로2가,0,1,0,0,0,3,1
92,남대문로1가,0,0,0,0,0,0,0
93,삼각동,0,0,0,0,0,0,0
94,수하동,1,1,0,0,0,0,1
95,장교동,1,0,0,1,0,0,2
96,수표동,0,0,0,0,0,0,2
97,소공동,2,1,0,4,0,14,0
98,남창동,3,0,0,1,0,3,2
99,북창동,1,1,0,1,0,2,1
100,태평로2가,0,0,0,1,0,3,3
101,남대문로2가,0,0,0,0,5,0,0
102,남대문로3가,0,0,0,0,0,1,0
103,남대문로4가,0,1,0,0,0,0,2
104,남대문로5가,1,3,0,1,0,9,4
105,봉래동1가,0,0,1,0,0,1,1
106,봉래동2가,0,0,0,0,1,3,0
107,회현동1가,1,0,0,5,0,2,7
108,회현동2가,0,0,0,0,0,2,1
109,회현동3가,0,0,0,1,0,0,0
110,충무로1가,0,1,0,1,6,11,1
111,충무로2가,1,2,0,1,8,2,2
112,명동1가,2,1,0,1,0,2,2
113,명동2가,4,2,0,0,4,3,4
114,남산동1가,0,0,0,0,0,2,0
115,남산동2가,0,2,0,1,0,1,1
116,남산동3가,0,0,0,0,0,0,0
117,저동1가,0,0,0,0,0,0,1
118,충무로4가,3,0,0,0,9,1,1
119,충무로5가,0,0,0,1,0,0,0
120,인현동2가,2,0,0,0,0,0,0
121,예관동,0,0,0,0,0,0,0
122,묵정동,0,0,0,0,0,1,0
123,필동1가,0,1,0,0,0,1,0
124,필동2가,2,0,2,2,3,0,1
125,필동3가,0,0,0,0,0,1,0
126,남학동,0,0,0,1,0,0,0
127,주자동,0,0,0,0,0,0,0
128,예장동,0,0,0,0,0,0,1
129,장충동1가,0,0,1,2,0,0,1
130,장충동2가,2,4,1,2,1,9,3
131,광희동1가,0,0,0,1,0,3,1
132,광희동2가,1,0,0,0,0,0,0
133,쌍림동,0,1,0,2,0,1,1
134,을지로6가,4,1,0,0,14,6,1
135,을지로7가,0,0,0,0,0,1,0
136,을지로4가,0,0,0,0,0,1,1
137,을지로5가,1,1,0,0,0,0,1
138,주교동,2,1,1,0,0,0,1
139,방산동,0,0,0,0,0,0,0
140,오장동,2,0,0,1,0,1,0
141,을지로3가,3,2,1,0,0,2,3
