"개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","전화번호","소재지면적","소재지우편번호","지번주소","도로명주소","도로명우편번호","사업장명","최종수정일자","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(X)","좌표정보(Y)","문화체육업종명","공사립구분명","보험가입여부코드","지도자수","건축물동수","건축물연면적","회원모집총인원","세부업종명","법인명"
"3210000","CDFH3301052008000016","20080527","","03","폐업","03","폐업","20220415","","","","3477-5777","","137806","서울특별시 서초구 반포동 93-1 (지하4층)","서울특별시 서초구 사평대로 126 (반포동(지하4층))","","CN스크린골프","20220415115211","U","2021-12-03 23:07:00.0","","199780.786480486","444178.175927435","","","","","","","","",""
"3000000","CDFH3301052006000003","20061220","","01","영업/정상","13","영업중","","","","","02-733-0114","","","서울특별시 종로구 내수동 72 경희궁의아침 3단지","서울특별시 종로구 사직로8길 34 B2층 (내수동)","03174","주-스포짐","20220913151831","U","2021-12-08 23:05:00.0","","197465.223921125","452366.613899898","","","","","","","","",""
"3120000","CDFH3301052007000004","20070706","","04","취소/말소/만료/정지/중지","35","직권말소","20220914","","","","","","","서울특별시 서대문구 연희동 218-1 연희체스트빌","서울특별시 서대문구 연희로 63 연희체스트빌 지하1층 B02호 (연희동)","03716","연희 비호 스크린골프","20220914140927","U","2021-12-08 23:06:00.0","","193614.825131121","451329.888948798","","","","","","","","",""
"3180000","CDFH3301052007000004","20070615","","03","폐업","03","폐업","20220329","","","","2679-4490","","","서울특별시 영등포구 양평동3가 58-1 2층","서울특별시 영등포구 선유로 155 (양평동3가)","07268","메카골프","20220329103543","U","2021-12-02 21:01:00.0","","190297.098317547","447288.702739939","","","","","","","","",""
"3220000","CDFH3301052019000011","20190725","","01","영업/정상","13","영업중","","","","","02-3412-9811","","","서울특별시 강남구 일원동 717 삼성생명 일원역 빌딩","서울특별시 강남구 일원로 115 삼성생명 일원역 빌딩 103-2호 (일원동)","06355","2X 골프 아카데미","20220915092319","U","2021-12-08 23:07:00.0","","207399.55165484","442426.399301013","","","","","","","","",""
"3180000","CDFH3301052006000008","20061212","","03","폐업","03","폐업","20220423","","","","","","","서울특별시 영등포구 당산동2가 30-2 영등포유통상가ㅡ지하 사열 1-동 891011호","서울특별시 영등포구 영등포로 109 (당산동2가 영등포유통상가)","07264","유통실내골프클럽","20220421094908","U","2021-12-03 22:03:00.0","","190555.768991595","446698.814322782","","","","","","","","",""
"3160000","CDFH3301052019000002","20190503","","01","영업/정상","13","영업중","","","","","02-2654-5453","","","서울특별시 구로구 고척동 186-5 현준프라자","서울특별시 구로구 목동남로 6 현준프라자 5층 (고척동)","08218","신목동 스크린골프","20220915161659","U","2021-12-08 23:07:00.0","","187616.089122175","444951.486533703","","","","","","","","",""
"3200000","CDFH3301052006000005","20061030","","03","폐업","03","폐업","20220322","","","","02-888-0770","","","서울특별시 관악구 봉천동 492-12 3층","서울특별시 관악구 양녕로 66 3층 (봉천동)","08729","현대골프연습장","20220329172652","U","2021-12-02 21:01:00.0","","195232.025860628","442872.783094562","","","","","","","","",""
"3170000","CDFH3301052022000003","20220915","","01","영업/정상","13","영업중","","","","","028551872","","","서울특별시 금천구 가산동 345-43","서울특별시 금천구 가산디지털2로 35 2층 (가산동)","08593","지디알(GDR) 골프아카데미 가산점","20220916112823","I","2021-12-08 23:08:00.0","","189525.6001002","441036.050850249","","","","","","","","",""
"3050000","CDFH3301052006000002","20060720","","01","영업/정상","13","영업중","","","","","2216-0252","","130841","서울특별시 동대문구 장안동 310-8 지하 12층","서울특별시 동대문구 장한로28가길 45 (장안동)","02523","서울시버스노동조합 복지사업부","20220408130821","U","2021-12-03 23:00:00.0","","206341.538776724","452530.018811546","","","","","","","","",""
"3230000","CDFH3301052007000017","20071127","","01","영업/정상","13","영업중","","","","","","","138861","서울특별시 송파구 잠실동 175-22 지하2층","서울특별시 송파구 올림픽로 74 지하2층 (잠실동)","05556","에이블짐 종합운동장역점","20220921160241","U","2021-12-08 22:03:00.0","","206924.785468388","445466.202906385","","","","","","","","",""
"3220000","CDFH3301052005000019","20051006","","03","폐업","03","폐업","20220413","","","","02-555-6161","","","서울특별시 강남구 역삼동 707-7 지하1층","서울특별시 강남구 테헤란로44길 5 지하1층 (역삼동)","06211","윌리스골프[스크린룸5]","20220413102056","U","2021-12-03 23:05:00.0","","203897.370090198","444486.277361813","","","","","","","","",""
"3220000","CDFH3301052022000015","20220922","","01","영업/정상","13","영업중","","","","","02-558-8690","","","서울특별시 강남구 역삼동 727-14 프라임빌딩","서울특별시 강남구 논현로 412 프라임빌딩 지하1층 (역삼동)","06224","원골프(HGA_CR)","20220922111031","I","2021-12-08 22:04:00.0","","203390.390363975","443864.765894165","","","","","","","","",""
"3180000","CDFH3301052004000005","20040817","","03","폐업","03","폐업","20220421","","","","2678-7001","","","서울특별시 영등포구 당산동5가 9-3","서울특별시 영등포구 당산로 205 (당산동5가 당산역해링턴타워)","07213","스파씨티휘트니스센터","20220421090048","U","2021-12-03 22:03:00.0","","191100.814966366","447841.495026035","","","","","","","","",""
"3220000","CDFH3301052022000016","20220922","","01","영업/정상","13","영업중","","","","","02-548-8690","","","서울특별시 강남구 역삼동 727-14 프라임빌딩","서울특별시 강남구 논현로 412 프라임빌딩 지하1층 (역삼동)","06224","원 골프 아카데미","20220922111236","I","2021-12-08 22:04:00.0","","203390.390363975","443864.765894165","","","","","","","","",""
"3220000","CDFH3301052022000017","20220927","","01","영업/정상","13","영업중","","","","","02-877-3624","","","서울특별시 강남구 역삼동 648-9","서울특별시 강남구 테헤란로 129 지하2층 (역삼동)","06133","버핏그라운드 역삼별관","20220927130431","I","2021-12-08 22:09:00.0","","202769.76","444195.925","","","","","","","","",""
"3040000","CDFH3301052003000007","20031106","","01","영업/정상","13","영업중","","","","","","","","서울특별시 광진구 광장동 484 지하2층","서울특별시 광진구 아차산로70길 62 지하2층 (광장동 광장현대3단지아파트)","04974","비스코헬스케어","20220412180517","U","2021-12-03 23:04:00.0","","208644.819209521","448711.725750126","","","","","","","","",""
"3220000","CDFH3301052022000018","20221005","","01","영업/정상","13","영업중","","","","","","","","서울특별시 강남구 청담동 30-33 대림아파트","서울특별시 강남구 학동로77길 27 상가동 2층 (청담동 대림아파트)","06067","S.S골프클럽","20221005094117","I","2021-10-31 00:07:00.0","","204159.120759696","446475.557022731","","","","","","","","",""
"3180000","CDFH3301052022000001","20220421","","01","영업/정상","13","영업중","","","","","","","","서울특별시 영등포구 여의도동 61-5 리버타워","서울특별시 영등포구 63로 36 66중간7층 (여의도동 리버타워)","07345","쇼골프 여의도점","20220421100610","I","2021-12-03 22:03:00.0","","194504.656267957","446355.021491973","","","","","","","","",""
"3220000","CDFH3301052010000005","20100203","","03","폐업","03","폐업","20221005","","","","02-558-7728","","","서울특별시 강남구 논현동 51-3 지하12층","서울특별시 강남구 학동로 105 (논현동 제이빌딩)","06044","라온골프(스크린)(443)","20221005162331","U","2021-10-31 00:07:00.0","","201884.720435763","445514.430957498","","","","","","","","",""
"3210000","CDFH3301052022000001","20220405","","01","영업/정상","13","영업중","","","","","","","","서울특별시 서초구 서초동 1507-20 명달 포레스트","서울특별시 서초구 명달로 114 명달 포레스트 (서초동 명달 포레스트)","06659","레드힐골프","20220405102701","I","2021-12-04 00:07:00.0","","200327.595229383","442797.77210014","","","","","","","","",""
"3030000","CDFH3301052022000001","20220310","","01","영업/정상","13","영업중","","","","","0222127111","","","서울특별시 성동구 용답동 182-11","서울특별시 성동구 자동차시장길 42 (용답동)","04806","코오롱글로벌(주)스포렉스 용답점","20220419180855","U","2021-12-03 22:01:00.0","","204831.422437936","450853.704274944","","","","","","","","",""
"3070000","CDFH3301052016000002","20161013","","03","폐업","03","폐업","20201015","","","","","","","서울특별시 성북구 동소문동6가 147 지하1층","서울특별시 성북구 아리랑로 9 지하1층 (동소문동6가 산맥프라자)","02830","홀인원 골프연습장","20220330111722","U","2021-12-04 00:01:00.0","","201342.102885448","454603.051999187","","","","","","","","",""
"3220000","CDFH3301052016000009","20160613","","01","영업/정상","13","영업중","","","","","02-563-1818","","","서울특별시 강남구 역삼동 683-10 지하1층","서울특별시 강남구 선릉로 567 지하1층 (역삼동 대운)","06145","에이틴 에이치(579)[스크린룸2타석]","20220405110238","U","2021-12-04 00:07:00.0","","203825.462552938","445207.620997271","","","","","","","","",""
"3150000","CDFH3301052014000002","20140210","","03","폐업","03","폐업","20220404","","","","2093-1080","","157779","서울특별시 강서구 염창동 240-21 우림블루나인 비즈니스센터 B102~103호","서울특별시 강서구 양천로 583 B102~103호 (염창동 우림블루나인 비즈니스센터)","07547","SGA스크린골프","20220404211117","U","2021-12-04 00:07:00.0","","187952.560027898","450562.020225978","","","","","","","","",""
"3060000","CDFH3301052010000005","20101102","","01","영업/정상","13","영업중","","","","","432-8384","","","서울특별시 중랑구 면목동 72-36 대우오피스텔","서울특별시 중랑구 겸재로 226-3 지하1층 (면목동)","02199","지니 스크린골프","20220407162018","U","2021-12-04 00:09:00.0","","208150.345321172","454123.946913017","","","","","","","","",""
"3230000","CDFH3301052010000012","20101007","","01","영업/정상","13","영업중","","","","","","","138858","서울특별시 송파구 오금동 113-3 지하1층","서울특별시 송파구 문정로 259 지하1층 (오금동)","05731","원탑스크린골프","20220404135059","U","2021-12-04 00:07:00.0","","212496.814538424","444359.482613983","","","","","","","","",""
"3240000","CDFH3301052010000006","20100614","","01","영업/정상","13","영업중","","","","","483-7100","","","서울특별시 강동구 성내동 550-4 지층","서울특별시 강동구 성내로 40 (성내동 동흔빌딩)","05399","강동 휴 스크린골프","20220412171353","U","2021-12-03 23:04:00.0","","210940.033286875","447410.547360363","","","","","","","","",""
"3170000","CDFH3301052009000002","20090528","","01","영업/정상","13","영업중","","","","","02-2676-4321","","153776","서울특별시 금천구 가산동 680번지 우림라이온스밸리2차 310호","서울특별시 금천구 가산디지털1로 2 310호 (가산동우림라이온스밸리2차)","","우림골프존 비젼스크린","20220328102118","D","2021-12-02 21:00:00.0","","190050.903572929","440523.497478209","","","","","","","","",""
"3180000","CDFH3301052009000006","20090326","","03","폐업","03","폐업","20220423","","","","2677-0753","","","서울특별시 영등포구 당산동2가 37 하나비즈타워 2층 201호","서울특별시 영등포구 영등포로 103 (당산동2가 하나비즈타워)","07264","포시즌 스크린골프","20220421095221","U","2021-12-03 22:03:00.0","","190484.482550269","446650.413562534","","","","","","","","",""
"3200000","CDFH3301052008000004","20080721","","03","폐업","03","폐업","20220418","","","","02-878-0753","","","서울특별시 관악구 신림동 1428-12 지하1층","서울특별시 관악구 신림로 376 지하1층 (신림동)","08753","위너스","20220419124418","U","2021-12-03 22:01:00.0","","193636.325447342","442867.665973694","","","","","","","","",""
"3130000","CDFH3301052008000014","20080713","","03","폐업","03","폐업","20220406","","","","02-325-0079","","121841","서울특별시 마포구 서교동 449-1 지1층","서울특별시 마포구 월드컵북로7길 11 지하1층 (서교동)","04000","골프존파크서교점","20220406103427","U","2021-12-04 00:08:00.0","","192617.265226389","450646.318229736","","","","","","","","",""
"3180000","CDFH3301052004000006","20041103","","03","폐업","03","폐업","20220329","","","","2635-1235","","","서울특별시 영등포구 양평동3가 78-15","서울특별시 영등포구 선유로 202 (양평동3가 미노아트센터)","07218","하나골프","20220329103623","U","2021-12-02 21:01:00.0","","190587.566946008","447655.519048267","","","","","","","","",""
"3060000","CDFH3301052003000004","20030930","","01","영업/정상","13","영업중","","","","","979-0709","","","서울특별시 중랑구 묵동 2 현동학당","서울특별시 중랑구 신내로25가길 2 현동학당 지하1층 (묵동)","02021","화랑대역 OK스크린골프","20220328150324","U","2021-12-02 21:00:00.0","","207357.595177869","457462.766652935","","","","","","","","",""
"3170000","CDFH3301052000000001","20000812","","03","폐업","03","폐업","20220328","","","","894-9283","","153755","서울특별시 금천구 시흥동 984-0 시흥유통상가  A지원 지하11","서울특별시 금천구 시흥대로 97  (시흥동시흥유통상가  A지원 지하11)","","대산골프연습장","20220328101126","U","2021-12-02 21:00:00.0","","191226.287379467","437914.06299827","","","","","","","","",""
"3160000","CDFH3301051994000001","19940513","","03","폐업","03","폐업","20220328","","","","2684-3323","","","서울특별시 구로구 오류동 111-3 경인골프연습장","서울특별시 구로구 경인로3가길 10-14 경인골프연습장 (오류동)","08264","경인골프연습장","20220328141216","U","2021-12-02 21:00:00.0","","184758.352564162","443279.406967513","","","","","","","","",""
"3180000","CDFH3301051993000001","19930908","","03","폐업","03","폐업","20220406","","","","2672-0789","","","서울특별시 영등포구 영등포동2가 94-144","서울특별시 영등포구 버드나루로 31 (영등포동2가)","07253","하나골프","20220406152655","U","2021-12-04 00:08:00.0","","192112.483967843","446582.753277164","","","","","","","","",""
"3170000","CDFH3301052022000001","20220425","","01","영업/정상","13","영업중","","","","","","","","서울특별시 금천구 가산동 60-8 현대시티아울렛 가산점","서울특별시 금천구 디지털로10길 9 현대시티아울렛 가산점 8층 (가산동)","08514","디에스알(DSR)현대골프아카데미","20220425172932","I","2021-12-03 22:07:00.0","","190119.463375612","441716.684586176","","","","","","","","",""
"3220000","CDFH3301052022000004","20220426","","01","영업/정상","13","영업중","","","","","02-3444-5551","","","서울특별시 강남구 논현동 249-6 논현로얄팰리스","서울특별시 강남구 언주로 626 논현로얄팰리스 지하1층 1호 (논현동)","06101","골프에비뉴","20220426174338","I","2021-12-03 22:08:00.0","","203118.623707683","445597.291569802","","","","","","","","",""
"3240000","CDFH3301052022000001","20220426","","01","영업/정상","13","영업중","","","","","","","","서울특별시 강동구 성내동 293-6","서울특별시 강동구 풍성로 111 지하1층 (성내동)","05387","프라이빗 스크린골프 연습장","20220426101644","I","2021-12-03 22:08:00.0","","210948.98055948","447789.604777139","","","","","","","","",""
"3190000","CDFH3301052019000001","20190613","","01","영업/정상","13","영업중","","","","","02-848-8484","","","서울특별시 동작구 신대방동 395-65 파크스퀘어보라매현대APT","서울특별시 동작구 보라매로5길 35 2층 (신대방동 파크스퀘어보라매현대APT)","07071","고위드 피트니스 보라매 골프","20220426150525","U","2021-12-03 22:08:00.0","","193167.049947274","443326.060408639","","","","","","","","",""
"3180000","CDFH3301052017000004","20170529","","03","폐업","03","폐업","20220503","","","","","","","서울특별시 영등포구 여의도동 61-5","서울특별시 영등포구 63로 36 9층 (여의도동 리버타워)","07345","리버타워 야외골프","20220426090858","U","2021-12-03 22:08:00.0","","194504.656267957","446355.021491973","","","","","","","","",""
"3180000","CDFH3301052010000014","20101214","","03","폐업","03","폐업","20220503","","","","783-0759","","","서울특별시 영등포구 여의도동 53-3 4층","서울특별시 영등포구 국제금융로 108 (여의도동 은하빌딩)","07343","J 골프스쿨","20220426090757","U","2021-12-03 22:08:00.0","","194056.681860495","446279.083804498","","","","","","","","",""
"3180000","CDFH3301052010000011","20101015","","03","폐업","03","폐업","20220503","","","","769-1072","","","서울특별시 영등포구 여의도동 61 금호리첸시아 지하1층","서울특별시 영등포구 여의동로 213 (여의도동 여의도금호리첸시아)","07345","리첸스크린골프","20220426091007","U","2021-12-03 22:08:00.0","","194592.276750438","446268.481210069","","","","","","","","",""
"3120000","CDFH3301052009000002","20090915","","03","폐업","03","폐업","20220426","","","","","","","서울특별시 서대문구 연희동 133-1 지층","서울특별시 서대문구 증가로 9 지하층 (연희동 범우빌딩)","03703","아시아나+ 스크린골프","20220426111332","U","2021-12-03 22:08:00.0","","193867.756939886","451877.442654241","","","","","","","","",""
"3180000","CDFH3301052008000017","20081017","","03","폐업","03","폐업","20220503","","","","3439-0816","","","서울특별시 영등포구 문래동3가 55-20 에이스하이테크 시티","서울특별시 영등포구 경인로 775 (문래동3가 에이스하이테크시티)","07299","와우 휘트니스영등포","20220426095634","U","2021-12-03 22:08:00.0","","190996.357288859","445841.377603245","","","","","","","","",""
"3020000","CDFH3301052007000001","20070116","","01","영업/정상","13","영업중","","","","","02-705-0022","","","서울특별시 용산구 한강로3가 16-85 GS한강에클라트(지하1층)","서울특별시 용산구 이촌로 1 지하1층 (한강로3가 GS한강에클라트)","04373","원짐","20220426131015","U","2021-12-03 22:08:00.0","","196005.836412851","447699.758814725","","","","","","","","",""
"3180000","CDFH3301052003000011","20030514","","03","폐업","03","폐업","20220503","","","","848-9017","","","서울특별시 영등포구 신길동 289-6","서울특별시 영등포구 도신로 120 (신길동 신영빌딩)","07383","드림골프스쿨","20220426093031","U","2021-12-03 22:08:00.0","","191570.82772481","445114.348934823","","","","","","","","",""
"3180000","CDFH3301052002000001","20020926","","03","폐업","03","폐업","20220503","","","","","","","서울특별시 영등포구 여의도동 61-5","서울특별시 영등포구 63로 36 6~8층 (여의도동 리버타워)","07345","(주)바디스타 여의도지점","20220426090929","U","2021-12-03 22:08:00.0","","194504.656267957","446355.021491973","","","","","","","","",""
"3180000","CDFH3301051996000001","19961115","","03","폐업","03","폐업","20220503","","","","832-7890","","","서울특별시 영등포구 대림동 1016-24","서울특별시 영등포구 대림로 88 (대림동 재상빌딩)","07438","제일골프연습장","20220426091556","U","2021-12-03 22:08:00.0","","191491.508134984","443096.527391865","","","","","","","","",""
"3050000","CDFH3301052022000003","20220428","","01","영업/정상","13","영업중","","","","","","","","서울특별시 동대문구 제기동 615-1 민족통일빌","서울특별시 동대문구 홍릉로3길 55 지하1층 (제기동 민족통일빌)","02572","엠제이골프","20220428175452","I","2021-12-03 21:00:00.0","","203597.785690203","453260.543917419","","","","","","","","",""
"3230000","CDFH3301052002000011","20020530","","01","영업/정상","13","영업중","","","","","407-4992","","138855","서울특별시 송파구 오금동 23-3 지하1층","서울특별시 송파구 마천로 79 지하1층 (오금동)","05656","케이탑 골프연습장","20220428154146","U","2021-12-03 21:00:00.0","","211354.564021281","445041.385740452","","","","","","","","",""
"3010000","CDFH3301052010000003","20100317","","01","영업/정상","13","영업중","","","","","754-0707","","100022","서울특별시 중구 명동2가 53-1번지 프라리스빌딩 지하1층 ","","","명동힐스크린","20100317174714","I","2018-08-31 23:59:59.0","","198525.848324122    ","451141.226369577    ","골프연습장업","사립","","","1","4964.94","","",""
"3010000","CDFH3301052010000004","20100413","","01","영업/정상","13","영업중","","","","","2234-1872","","100452","서울특별시 중구 신당동 360-3번지 선일빌딩 지하1층 ","","","약수골프","20181121085822","U","2018-11-23 02:37:23.0","","200800.925470229    ","450289.83533661     ","골프연습장업","사립","Y","","1","4944","","",""
"3010000","CDFH3301052010000006","20100527","","01","영업/정상","13","영업중","","","","","","","100196","서울특별시 중구 을지로6가 산 23-17번지 타임캐슬 지하2층 ","","","동대문골프존고은손","20200102193203","U","2020-01-04 02:40:00.0","","","","골프연습장업","사립","","","","385","","",""
"3010000","CDFH3301052010000007","20100603","","01","영업/정상","13","영업중","","","","","2254-1341","","100451","서울특별시 중구 신당동 산 251-78번지 지하1층 ","","","스카이스크린골프","20100603134813","I","2018-08-31 23:59:59.0","","","","골프연습장업","사립","","","","","","",""
"3010000","CDFH3301052010000010","20100813","","01","영업/정상","13","영업중","","","","","2118-8686","","100196","서울특별시 중구 을지로6가 산 18-21 굿모닝시티쇼핑목 지하3층 1415호 ","","","굿모닝스크린골프","20211217151711","U","2021-12-19 02:40:00.0","","","","골프연습장업","사립","","0","0","0","0","",""
