,법정동명,석유판매업,공원수,음식점수,장보기시설,쇼핑시설,의료,치안,생횔편의시설,여가,교통
0,청운동,0,0,16,0.0,0.0,0,0,0,0,7
1,신교동,0,0,11,0.0,0.0,1,1,3,1,0
2,궁정동,0,0,4,0.0,0.0,0,1,0,0,1
3,효자동,0,0,16,0.0,0.0,0,0,1,0,2
4,창성동,0,0,23,0.0,0.0,4,0,0,0,2
5,통의동,0,0,75,0.0,0.0,1,1,3,4,4
6,적선동,0,0,81,0.0,0.0,12,0,1,2,1
7,통인동,0,0,85,0.0,0.0,1,0,4,1,3
8,누상동,0,0,19,0.0,0.0,0,0,0,0,1
9,누하동,0,0,55,0.0,0.0,3,0,2,0,3
10,옥인동,0,1,31,0.0,0.0,3,1,2,0,2
11,체부동,0,0,92,0.0,0.0,2,0,4,3,0
12,필운동,0,0,78,0.0,0.0,0,0,2,1,0
13,내자동,0,0,95,0.0,0.0,11,0,2,4,4
14,사직동,1,1,44,0.0,0.0,1,1,2,4,10
15,도렴동,0,0,62,0.0,0.0,2,0,0,0,0
16,당주동,0,0,161,0.0,0.0,13,0,5,4,0
17,내수동,0,2,144,0.0,0.0,6,0,9,9,0
18,세종로,0,0,26,0.0,0.0,5,0,1,0,16
19,신문로1가,0,2,105,1.0,0.0,21,1,0,4,5
20,신문로2가,0,1,102,0.0,0.0,2,0,1,4,3
21,청진동,0,1,198,0.0,0.0,18,0,2,2,0
22,서린동,0,1,43,1.0,0.0,5,0,0,1,1
23,수송동,1,1,122,0.0,0.0,8,1,2,2,0
24,중학동,1,0,30,0.0,0.0,0,0,1,0,1
25,종로1가,0,0,98,0.0,1.0,19,0,4,2,5
26,공평동,0,0,54,0.0,0.0,2,0,0,1,2
27,관훈동,1,0,202,0.0,0.0,1,0,1,2,1
28,견지동,0,0,35,0.0,0.0,6,0,2,2,5
29,와룡동,0,1,21,0.0,0.0,3,0,0,0,5
30,권농동,0,0,30,0.0,0.0,0,0,3,0,1
31,운니동,0,0,35,0.0,0.0,0,1,2,1,4
32,익선동,1,0,152,0.0,0.0,0,0,2,0,0
33,경운동,0,0,22,0.0,0.0,8,0,0,3,7
34,관철동,0,0,369,0.0,0.0,12,1,1,28,5
