,법정동명,지하철역,버스정류소,서점,골프연습장업,목욕장업,세탁업,영화상영관,제과점영업,체력단련장업,구분없음,대규모점포,대형마트,백화점,복합쇼핑몰,쇼핑센터,시장,병원,약국,의원,치안센터,경찰서,119안전센터,공원수,노래방수,당구장,도서관,박물관미술관,우체국,음식점수,카페수,패스트푸드,경양식,분식,일식,중국식,한식,의료,생활편의시설,교통,쇼핑시설,장보기시설,생활복지시설,여가
0,청운동,0,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,16,8,0,1,0,0,1,8,0,0,7,2,0,1,0
1,신교동,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,10,1,0,3,2,1,1,3,1,2,0,0,1,1,1
2,궁정동,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,1,0,1,0,0,1,0,0,0,1,0,0,1,0
3,효자동,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,5,0,3,0,0,1,5,0,0,2,1,1,0,0
4,창성동,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,23,3,0,5,2,0,0,9,4,0,2,2,0,0,0
5,통의동,0,4,3,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,3,0,0,1,1,75,8,0,14,7,4,1,22,1,0,4,3,3,2,5
6,적선동,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,3,9,0,0,0,0,1,0,0,0,0,81,14,2,7,11,6,4,33,12,1,1,0,0,0,2
7,통인동,0,3,2,0,2,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,86,3,1,17,5,3,1,30,1,2,3,2,2,0,1
8,누상동,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,1,0,8,0,1,0,6,0,0,1,1,0,0,0
9,누하동,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,55,8,0,7,2,3,3,12,3,0,3,0,2,0,0
10,옥인동,0,2,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,1,0,1,0,1,0,0,0,1,1,30,6,0,10,2,0,0,7,3,1,2,3,1,2,2
11,체부동,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,2,0,0,0,92,10,0,13,10,4,2,37,2,0,0,1,4,0,3
12,필운동,0,0,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,77,3,3,9,11,2,0,36,0,1,0,3,1,0,1
13,내자동,0,4,0,0,0,1,0,1,2,0,0,0,0,0,0,0,1,4,6,0,0,0,0,2,0,0,0,0,95,3,1,12,9,1,0,49,11,1,4,0,1,0,4
14,사직동,0,10,0,2,1,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,2,0,0,44,10,0,9,2,1,1,24,1,2,10,0,0,3,5
15,도렴동,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,61,6,1,9,14,3,1,21,2,0,0,0,0,0,0
16,당주동,0,0,2,0,0,2,0,3,1,0,0,0,0,0,0,0,0,2,11,0,0,0,0,1,2,0,0,0,159,14,0,19,20,18,5,58,13,2,0,2,3,0,4
17,내수동,0,0,0,1,1,4,0,4,7,0,0,0,0,0,0,0,0,0,6,0,0,0,2,0,1,0,0,0,142,8,0,24,13,5,6,55,6,5,0,0,4,0,11
18,세종로,1,15,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,3,3,26,12,1,7,7,1,2,5,5,0,16,1,1,3,3
19,신문로1가,0,5,0,0,0,0,2,0,2,0,0,1,0,0,0,0,0,3,18,0,1,0,2,0,0,0,1,1,102,12,1,17,9,6,6,37,21,0,5,0,1,2,7
20,신문로2가,0,3,0,0,0,0,2,1,2,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,2,2,102,8,0,23,10,5,3,36,2,0,3,0,1,2,7
21,청진동,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,5,13,0,0,0,1,0,2,0,0,0,196,25,2,28,11,11,8,96,18,0,0,1,2,0,3
